date,#taxi,#Taxi,#logo,#design,#uberlogo,#SuperBowl50,#SB50,#Paris
2016-01-26 13:00,14.0,0.0,0.0,0.0,0.0,8.0,8.0,92.0
2016-01-26 14:00,43.0,14.0,0.0,0.0,0.0,21.0,21.0,66.0
2016-01-26 15:00,36.0,1.0,0.0,0.0,0.0,24.0,25.0,126.0
2016-01-26 16:00,43.0,4.0,0.0,0.0,0.0,21.0,22.0,49.0
2016-01-26 17:00,36.0,4.0,0.0,0.0,0.0,24.0,24.0,18.0
2016-01-26 18:00,30.0,2.0,0.0,0.0,0.0,24.0,22.0,17.0
2016-01-26 19:00,38.0,1.0,0.0,0.0,0.0,24.0,24.0,22.0
2016-01-26 20:00,38.0,1.0,0.0,0.0,0.0,21.0,21.0,4.0
2016-01-26 21:00,49.0,0.0,0.0,0.0,0.0,24.0,24.0,12.0
2016-01-26 22:00,26.0,1.0,0.0,0.0,0.0,21.0,21.0,8.0
2016-01-26 23:00,32.0,3.0,0.0,0.0,0.0,24.0,24.0,99.0
2016-01-27 00:00,25.0,4.0,0.0,0.0,0.0,21.0,21.0,54.0
2016-01-27 01:00,26.0,0.0,0.0,0.0,0.0,24.0,24.0,17.0
2016-01-27 02:00,22.0,0.0,0.0,0.0,0.0,21.0,21.0,6.0
2016-01-27 03:00,27.0,0.0,0.0,0.0,0.0,25.0,28.0,7.0
2016-01-27 04:00,23.0,0.0,0.0,0.0,0.0,24.0,24.0,4.0
2016-01-27 05:00,24.0,1.0,0.0,0.0,0.0,22.0,22.0,2.0
2016-01-27 06:00,26.0,3.0,0.0,0.0,0.0,23.0,23.0,3.0
2016-01-27 07:00,41.0,1.0,0.0,0.0,0.0,22.0,22.0,2.0
2016-01-27 08:00,35.0,4.0,0.0,0.0,0.0,23.0,23.0,5.0
2016-01-27 09:00,25.0,0.0,0.0,0.0,0.0,22.0,22.0,6.0
2016-01-27 10:00,29.0,0.0,0.0,0.0,0.0,23.0,23.0,7.0
2016-01-27 11:00,31.0,8.0,0.0,0.0,0.0,21.0,21.0,6.0
2016-01-27 12:00,27.0,2.0,0.0,0.0,0.0,24.0,24.0,6.0
2016-01-27 13:00,30.0,1.0,0.0,0.0,0.0,24.0,21.0,6.0
2016-01-27 14:00,28.0,5.0,0.0,0.0,0.0,24.0,24.0,4.0
2016-01-27 15:00,26.0,8.0,0.0,0.0,0.0,21.0,21.0,3.0
2016-01-27 16:00,35.0,4.0,0.0,0.0,0.0,24.0,24.0,1.0
2016-01-27 17:00,19.0,0.0,0.0,1.0,0.0,15.0,15.0,4.0
2016-01-27 18:00,19.0,1.0,0.0,0.0,0.0,17.0,18.0,1.0
2016-01-27 19:00,18.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-01-27 20:00,24.0,1.0,0.0,0.0,0.0,16.0,16.0,10.0
2016-01-27 21:00,17.0,0.0,0.0,1.0,0.0,14.0,14.0,0.0
2016-01-27 22:00,18.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-27 23:00,16.0,4.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-01-28 00:00,25.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-28 01:00,17.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-01-28 02:00,16.0,2.0,0.0,0.0,0.0,16.0,16.0,4.0
2016-01-28 03:00,15.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-01-28 04:00,19.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-28 05:00,15.0,1.0,0.0,0.0,0.0,15.0,21.0,3.0
2016-01-28 06:00,16.0,1.0,0.0,0.0,0.0,16.0,17.0,0.0
2016-01-28 07:00,15.0,1.0,0.0,0.0,0.0,14.0,15.0,0.0
2016-01-28 08:00,17.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-01-28 09:00,16.0,8.0,0.0,0.0,0.0,16.0,15.0,1.0
2016-01-28 10:00,16.0,9.0,0.0,0.0,0.0,16.0,17.0,0.0
2016-01-28 11:00,7.0,2.0,0.0,0.0,0.0,7.0,7.0,0.0
2016-01-28 12:00,11.0,3.0,0.0,0.0,0.0,8.0,8.0,1.0
2016-01-28 13:00,10.0,8.0,0.0,1.0,0.0,7.0,7.0,1.0
2016-01-28 14:00,10.0,2.0,0.0,0.0,0.0,8.0,8.0,1.0
2016-01-28 15:00,10.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0
2016-01-28 16:00,3.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0
2016-01-28 17:00,6.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
2016-01-28 18:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2016-01-28 19:00,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2016-01-28 20:00,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0
2016-01-28 21:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28 22:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-28 23:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 00:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 01:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 02:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 03:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 04:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 06:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 07:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 09:00,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 10:00,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 11:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-29 12:00,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0
2016-01-29 13:00,8.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-29 14:00,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 15:00,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-01-29 16:00,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 17:00,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-01-29 18:00,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-29 19:00,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 20:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-29 21:00,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0
2016-01-29 22:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-29 23:00,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0
2016-01-30 00:00,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-01-30 01:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-30 02:00,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 03:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 04:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 06:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2016-01-30 07:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 08:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 09:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-30 10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 11:00,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 12:00,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 13:00,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 14:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-30 15:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-30 16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 17:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 18:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-30 19:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 21:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-30 23:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 00:00,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 01:00,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2016-01-31 02:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 04:00,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 05:00,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2016-01-31 06:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 07:00,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 08:00,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 09:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 10:00,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-31 11:00,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 12:00,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-31 13:00,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 14:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 15:00,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 16:00,5.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0
2016-01-31 17:00,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-31 18:00,1.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0
2016-01-31 19:00,25.0,3.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-01-31 20:00,24.0,4.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-01-31 21:00,24.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-01-31 22:00,27.0,1.0,0.0,0.0,0.0,21.0,21.0,1.0
2016-01-31 23:00,28.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-02-01 00:00,23.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 01:00,25.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-02-01 02:00,24.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 03:00,26.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-02-01 04:00,23.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 05:00,26.0,1.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-02-01 06:00,23.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 07:00,25.0,3.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-02-01 08:00,24.0,8.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 09:00,24.0,3.0,0.0,0.0,0.0,24.0,24.0,0.0
2016-02-01 10:00,21.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 11:00,24.0,1.0,0.0,0.0,0.0,24.0,25.0,0.0
2016-02-01 12:00,24.0,1.0,0.0,0.0,0.0,21.0,21.0,0.0
2016-02-01 13:00,24.0,1.0,0.0,0.0,0.0,24.0,23.0,0.0
2016-02-01 14:00,15.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-01 15:00,16.0,1.0,0.0,2.0,0.0,14.0,14.0,0.0
2016-02-01 16:00,16.0,2.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-01 17:00,18.0,7.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-02-01 18:00,19.0,2.0,0.0,0.0,0.0,17.0,17.0,0.0
2016-02-01 19:00,17.0,0.0,0.0,0.0,0.0,14.0,15.0,0.0
2016-02-01 20:00,17.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-01 21:00,17.0,1.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-01 22:00,18.0,1.0,0.0,0.0,0.0,16.0,16.0,1.0
2016-02-01 23:00,14.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-02 00:00,26.0,9.0,0.0,2.0,0.0,16.0,20.0,4.0
2016-02-02 01:00,15.0,1.0,0.0,0.0,0.0,15.0,14.0,0.0
2016-02-02 02:00,17.0,0.0,0.0,1.0,0.0,16.0,18.0,0.0
2016-02-02 03:00,14.0,0.0,0.0,1.0,0.0,14.0,14.0,0.0
2016-02-02 04:00,23.0,6.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-02 05:00,15.0,4.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-02-02 06:00,21.0,2.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-02 07:00,14.0,1.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-02 08:00,18.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-02 09:00,15.0,1.0,0.0,0.0,0.0,14.0,14.0,6.0
2016-02-02 10:00,17.0,1.0,0.0,0.0,0.0,16.0,17.0,0.0
2016-02-02 11:00,15.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0
2016-02-02 12:00,19.0,1.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-02 13:00,15.0,7.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-02 14:00,16.0,0.0,0.0,0.0,0.0,16.0,16.0,3.0
2016-02-02 15:00,24.0,3.0,0.0,0.0,0.0,14.0,14.0,0.0
2016-02-02 16:00,17.0,7.0,0.0,0.0,0.0,16.0,16.0,0.0
2016-02-02 17:00,21.0,2.0,0.0,0.0,0.0,17.0,9.0,0.0
2016-02-02 18:00,28.0,1.0,0.0,0.0,0.0,24.0,0.0,0.0
2016-02-02 19:00,22.0,0.0,11.0,5.0,2.0,21.0,0.0,0.0
2016-02-02 20:00,24.0,0.0,13.0,18.0,1.0,24.0,1.0,0.0
2016-02-02 21:00,23.0,0.0,17.0,18.0,2.0,21.0,0.0,0.0
2016-02-02 22:00,26.0,0.0,14.0,7.0,4.0,24.0,0.0,1.0
2016-02-02 23:00,28.0,2.0,5.0,5.0,6.0,21.0,0.0,0.0
2016-02-03 00:00,25.0,3.0,2.0,3.0,4.0,24.0,0.0,0.0
2016-02-03 01:00,25.0,1.0,8.0,4.0,3.0,21.0,0.0,2.0
2016-02-03 02:00,26.0,2.0,15.0,6.0,5.0,24.0,0.0,2.0
2016-02-03 03:00,24.0,1.0,4.0,1.0,2.0,21.0,0.0,0.0
2016-02-03 04:00,24.0,2.0,4.0,3.0,6.0,24.0,1.0,0.0
2016-02-03 05:00,22.0,1.0,15.0,8.0,9.0,21.0,0.0,0.0
2016-02-03 06:00,27.0,2.0,3.0,5.0,4.0,24.0,0.0,0.0
2016-02-03 07:00,24.0,0.0,12.0,8.0,4.0,21.0,0.0,0.0
2016-02-03 08:00,27.0,1.0,10.0,8.0,10.0,24.0,0.0,0.0
2016-02-03 09:00,25.0,1.0,16.0,7.0,8.0,21.0,0.0,0.0
2016-02-03 10:00,30.0,0.0,6.0,6.0,2.0,24.0,0.0,0.0
2016-02-03 11:00,22.0,0.0,14.0,10.0,3.0,21.0,1.0,0.0
2016-02-03 12:00,30.0,1.0,9.0,18.0,9.0,24.0,0.0,1.0
2016-02-03 13:00,23.0,5.0,24.0,7.0,10.0,19.0,0.0,1.0
2016-02-03 14:00,18.0,2.0,22.0,13.0,13.0,16.0,6.0,0.0
2016-02-03 15:00,21.0,2.0,24.0,6.0,9.0,23.0,6.0,0.0
2016-02-03 16:00,18.0,4.0,21.0,8.0,17.0,18.0,2.0,0.0
2016-02-03 17:00,17.0,2.0,17.0,11.0,8.0,15.0,0.0,0.0
2016-02-03 18:00,18.0,5.0,1.0,4.0,6.0,15.0,1.0,0.0
2016-02-03 19:00,19.0,3.0,9.0,6.0,11.0,16.0,1.0,0.0
2016-02-03 20:00,21.0,2.0,9.0,7.0,7.0,15.0,0.0,0.0
2016-02-03 21:00,17.0,0.0,9.0,8.0,4.0,15.0,2.0,0.0
2016-02-03 22:00,17.0,1.0,14.0,7.0,1.0,16.0,0.0,0.0
2016-02-03 23:00,11.0,3.0,2.0,5.0,2.0,11.0,1.0,0.0
